appln_id;ipc;
441133798;B08B;1
441133798;G21C;2
441133798;G21F;1
502183019;H02K;8
502183019;B63H;3
514033078;F22G;2
514033078;F28F;1
514033078;F23C;2
514033078;F22B;1
519249313;G10K;6
519249313;B08B;1
519249313;F23G;4
519249313;F23J;1
519249313;F28G;2
519249313;F16K;5
522201942;E04B;15
522201942;F16B;5
526379730;F23H;4
526379730;F22B;3
526379730;F23L;2
526379730;F23N;1
526379730;F23G;4
526857084;F22B;1
526857084;F23H;4
526857084;F23N;1
526857084;F23L;1
526857084;F23G;1
527756797;F23N;2
527756797;F23M;1
527756797;F23L;4
527756797;F23G;2
535657314;F16K;3
535657314;F23J;1
535657314;F23G;1
535657314;F28G;8
535657314;B08B;4
535657314;G10K;1
535657314;F23N;2
564546947;F22B;1
564546947;F27D;1
564546947;F28D;2
564546947;F22D;14
564546947;F22G;1
564546947;G21D;3
564546947;F28F;6
565785850;F04B;1
565785850;F23J;9
565785850;B08B;1
565785850;F28G;2
565785850;F16K;3
